Name,Image,Light,Water,Pet-Safe,Tag Text,Tags
Croton,https://bloomscape.com/wp-content/uploads/2020/08/bloomscape_product_croton-petra_detail_600x600.jpg?ver=282377,"Light:
Your Croton will do best in a bright spot, as it needs lots of light (if possible 4-6 hrs. Per day) to produce all those colorful leaves! If your croton does not get enough light, you might find the plant grows tall and lanky with spare leaves lacking the rich, dark hues.","Water:
Water when the top 25%-50% of the soil is dry. Water until liquid flows through the drainage hole at the bottom of the pot and discard any water that has accumulated in the saucer.","Pet-Safe:
Your Croton is moderately toxic to pets and humans. Typically, ingestion will cause mouth and stomach irritation and possible vomiting.","Sunlight: ☀︎☀︎☀︎
Water: 🌢🌢🌢
Difficulty: ★★
Pet-Safe: ✘",
Dieffenbachia,https://bloomscape.com/wp-content/uploads/2022/02/bloomscape_dieffenbachia_10in_clay-scaled.jpg?ver=675709,"Light:
Your Dieffenbachia will do best in bright, indirect light. It can also tolerate lower light environments, though growth will slow. Avoid direct sunlight which can burn the leaves.","Water:
Water your Dieffenbachia when the soil volume is 50-75% dry. Water thoroughly until it drips out the bottom of the pot, and remove excess water that accumulates in the saucer.","Pet-Safe:
Dieffenbachia are considered to be toxic to pets and humans if ingested.","Sunlight: ☀︎☀︎
Water: 🌢🌢
Difficulty: ★
Pet-Safe: ✘",
Dracaena,https://bloomscape.com/wp-content/uploads/2020/08/bloomscape_dracaena-open-weave_detail_600x600.jpg?ver=282352,"Light:
Your Dracaena prefers bright indirect light but can survive in low light. Leaves with less variegation, slow growth, and small new leaves indicate it is not getting enough light.","Water:
Overwatering causes root rot and is the main reason a dracaena plant dies. Water your plant thoroughly and allow the top 75% of the soil to dry before watering again. In low light, allow the soil to dry completely before watering. Water your plant less in the winter, when light levels are lower and growth has slowed.","Pet-Safe:
Dracaena leaves are toxic to pets and humans. Typically, ingestion will cause mouth and stomach irritation with possible vomiting.","Sunlight: ☀︎☀︎
Water: 🌢
Difficulty: ★★★
Pet-Safe: ✘",
Easter Lily,https://bloomscape.com/wp-content/uploads/2022/03/iStock-160320204-scaled.jpg?ver=681573,"Light:
Easter lilies love to be placed in indirect, bright sunlight. Too much light will burn the foliage, but too little light will cause the slow decline of the plant. Eastern light or a few feet back from a southern window is ideal.","Water:
Easter lilies prefer to stay somewhat moist. Water when 50% of the soil volume is dry. Water thoroughly and discard excess water to avoid root rot. ","Pet-Safe:
Easter lilies are toxic to humans and pets if ingested. All parts of the Easter lily, including the pollen, are extremely toxic to cats.","Sunlight: ☀︎☀︎☀︎
Water: 🌢🌢
Difficulty: ★★
Pet-Safe: ✘",
Euonymus,https://bloomscape.com/wp-content/uploads/2022/02/iStock-1333884739.jpg?ver=666983,"Light:
Your euonymus will love bright, indirect sunlight. Avoid placing it in direct sunlight as this may cause the leaves to burn and turn white. Eastern exposure or a few feet back from a southern or western window is ideal.","Water:
Water when 50% of the soil volume is dry. Water thoroughly until you see it flow out of the drainage hole. Discard any excess water to avoid root rot. Your euonymus needs less water during the winter dormant season.","Pet-Safe:
The euonymus plant is toxic to humans and pets if ingested.","Sunlight: ☀︎☀︎☀︎
Water: 🌢🌢
Difficulty: ★
Pet-Safe: ✘",
Euphorbia,https://bloomscape.com/wp-content/uploads/2021/12/Bloomscape_CactiEuphorbiaTrigona_xs_alabaster_Detail-scaled.jpg?ver=639585,"Light:
Your euphorbia needs bright direct light. This means a spot that gets 6 plus hours of direct sun per day.","Water:
Water your euphorbia when the soil volume is 100% dry. Water thoroughly until it flows out of the drainage hole. Discard excess water to discourage root rot.","Pet-Safe:
The euphorbias are toxic to humans and pets.","Sunlight: ☀︎☀︎☀︎
Water: 🌢
Difficulty: ★
Pet-Safe: ✘",
Fern,https://bloomscape.com/wp-content/uploads/2020/08/bloomscape_kimberly-queen-fern_detail_600x600.jpg?ver=282359,"Light:
Your fern will do best in medium to low light. The more light it receives, the more the leaves will crinkle and the less light, the flatter the leaves will be. Keep in mind, too much light or extended periods of direct sunlight will cause the fronds on the fern to get a pale bleached color.","Water:
Water when the top 25% of the soil is dry. When watering, water only the soil – not the leaves. Water accumulating in the crown of your plant could lead to bacterial growth and potential leaf rot. Water until liquid flows through the drainage hole at the bottom of the pot and discard any water that has accumulated in the saucer.","Pet-Safe:
Ferns are non-poisonous plants and safe for humans, dogs and cats.","Sunlight: ☀︎☀︎
Water: 🌢🌢🌢
Difficulty: ★
Pet-Safe: ✔",
Ficus,https://bloomscape.com/wp-content/uploads/2020/08/bloomscape_variegated-ficus_detail_600x600.jpg?ver=282399,"Light:
Place your Ficus in bright indirect or filtered light. Avoid bright direct light as it will burn the leaves and cause them to drop.","Water:
Water with room-temperature water once the soil dries 50-75% down. Water thoroughly until water flows into the saucer, then pour out any excess.","Pet-Safe:
Ficus leaves are mildly toxic to pets and humans. Typically, ingestion will cause mouth and stomach irritation with possible vomiting.","Sunlight: ☀︎☀︎☀︎
Water: 🌢🌢
Difficulty: ★★
Pet-Safe: ✘",
Fiddle Leaf Fig,https://bloomscape.com/wp-content/uploads/2020/08/bloomscape_fiddle-leaf-fig_detail_600x600.jpg?ver=282356,"Light:
Keep your fiddle leaf fig in bright indirect light. This plant will not tolerate low light and its leaves will eventually yellow and drop. Close to an eastern window or acclimated to the direct light from a southern window is ideal.","Water:
Water when 50-75% of the soil volume is dry. Always water thoroughly until it flows out of the drainage hole to encourage a healthy root system. Discard any excess water in the saucer.","Pet-Safe:
Fiddle leaf figs are toxic to humans and pets if ingested.","Sunlight: ☀︎☀︎☀︎
Water: 🌢🌢
Difficulty: ★★
Pet-Safe: ✘",
Fittonia,https://bloomscape.com/wp-content/uploads/2020/08/bloomscape_collections_spring-fling_detail-fittonia-white_600x600.jpg?ver=282344,"Light:
Your Fittonia prefers bright, indirect light. Lower light can cause it to lose some of its vibrant color and growth will slow. Too much light can burn the leaves.","Water:
Your Fittonia loves water and to be consistently moist, but not soggy. Water thoroughly when the top 50% of soil is dry. If you let your Fittonia dry out too much, it will let you know with limp leaves. Not to worry! After a thorough watering, the leaves should soon perk up.","Pet-Safe:
Fittonia are non-toxic and pet-friendly.","Sunlight: ☀︎☀︎☀︎
Water: 🌢🌢🌢
Difficulty: ★
Pet-Safe: ✔",
Gardenia,https://bloomscape.com/wp-content/uploads/2022/03/bloomscape_gardenia_medium_clay.jpg?ver=697097,"Light:
Your Gardenia prefers partial shade, with 4-6 hours of direct sun per day. The soft morning sun is best, so an east-facing exposure is best. Avoid exposure to the harsh afternoon sunlight, which can scorch the delicate blooms. Your Gardenia can also thrive in areas with light shade throughout the day.","Water:
Water your Gardenia with 50% of the soil volume is dry. Water slowly, allowing it to absorb into the soil until it begins to drip out of the drainage hole. Do not use a saucer outdoors or allow the pot to sit in standing water.","Pet-Safe:
The Gardenia is considered mildly toxic to pets and humans if ingested.","Sunlight: ☀︎☀︎☀︎
Water: 🌢🌢
Difficulty: ★★
Pet-Safe: ✘",
Geo Plant,https://bloomscape.com/wp-content/uploads/2022/09/bloomscape_geo-plant_md_plant-stool.jpg?ver=939563,"Light:
Your Geo Plant prefers bright indirect light. Avoid extended exposure to direct sunlight which may cause its leaves to scorch.","Water:
Water when 25-50% of the soil volume is dry. Water slowly, allowing it to soak into the soil until it drips out of the drainage hole. Discard any excess water that accumulates in the saucer.","Pet-Safe:
This plant is considered non-toxic and pet-friendly.","Sunlight: ☀︎☀︎☀︎
Water: 🌢🌢🌢
Difficulty: ★★
Pet-Safe: ✔",
Homalomena,https://bloomscape.com/wp-content/uploads/2020/08/bloomscape_product_homalomena-emerald-green_detail_600x600.jpg?ver=282379,"Light:
Your Homalomena likes bright indirect light. They can tolerate lower light, but growth may slow significantly. If kept in direct sunlight, the foliage may burn.","Water:
Allow the top 50% of the soil of your Homalomena to dry out between watering. They do not like soggy soil, but also do not like to dry out for extended periods of time.","Pet-Safe:
Your Homalomena is toxic to animals and humans if ingested.","Sunlight: ☀︎☀︎☀︎
Water: 🌢🌢
Difficulty: ★
Pet-Safe: ✘",
Ivy,https://bloomscape.com/wp-content/uploads/2021/12/Bloomscape_IvyGlacier_small_Detail-scaled.jpg?ver=639542,"Light:
Ivy plants prefer bright indirect light but no direct sun as the foliage will burn. In less light, the ivy will become leggy and sparse.","Water:
Let the top 25-50% of the soil dry out before watering. Allow the water to flow freely from the drainage holes on the bottom of the pot. Always empty the saucer of any water.  Ivy does not like its roots constantly wet. Crispy brown leaves indicate over-watering, not under-watering.","Pet-Safe:
Ivy is mildly toxic to humans and pets. Typically, ingestion will cause mouth and stomach irritation and possible vomiting.","Sunlight: ☀︎☀︎☀︎
Water: 🌢🌢
Difficulty: ★★
Pet-Safe: ✘",
Jade Plant,https://bloomscape.com/wp-content/uploads/2021/06/Jade-_Bloomscape.jpg?ver=557563,"Light:
Give your Jade plant indirect to bright light. Too little light can cause overwatering and slow growth.","Water:
Your Jade Plant does not need to be watered as frequently as most indoor plants. Water only when the soil is completely dry. Water thoroughly until you see water flow out of the drainage hole. Make sure there is no standing water left in the saucer, as this can lead to root rot.","Pet-Safe:
Your Jade Plant is considered to be toxic.","Sunlight: ☀︎☀︎☀︎
Water: 🌢
Difficulty: ★
Pet-Safe: ✘",
Kalanchoe,https://bloomscape.com/wp-content/uploads/2020/10/bloomscape_holiday-succulent_collection_kalanchoe-flapjack.jpg?ver=321426,"Light:
Place your Kalanchoe in bright light or full sun. It will not thrive if it does not receive enough sunlight.","Water:
Your Kalanchoe does not need to be watered as frequently as most indoor plants. Water only when the soil is completely dry, or when you notice the leaves starting to shrivel. Water thoroughly so the roots have a chance to soak up the moisture. Make sure there is no standing water left in the saucer, as this can lead to root rot.","Pet-Safe:
Your Kalanchoe is considered to be toxic to pets.","Sunlight: ☀︎☀︎☀︎
Water: 🌢
Difficulty: ★
Pet-Safe: ✘",
Lithops,https://bloomscape.com/wp-content/uploads/2022/02/bloomscape_lithop_detail.jpg?ver=671496,"Light:
Lithops need a lot of sunlight to thrive. They need 6 hours or more of direct sunlight every day. Place the living stones in a south-facing window and they will be happy.","Water:
Let 100% of the soil volume dry before watering during the spring and summer. These plants thrive in a dry environment. In the fall and winter, these plants typically go dormant and need little to no water. Water only if the lithops have begun to shrivel up.","Pet-Safe:
Living stones are non-toxic and safe to have around children and pets.","Sunlight: ☀︎☀︎☀︎
Water: 🌢
Difficulty: ★
Pet-Safe: ✔",
Money Tree,https://bloomscape.com/wp-content/uploads/2020/08/bloomscape_money-tree_alt_detail_600x600.jpg?ver=282362,"Light:
Your Money Tree prefers indirect bright light, and can adjust to lower light. Too much direct light will scorch the leaves, but too little light will cause slow growth and yellow leaves. Rotate your plant monthly to keep growth even. If you are worried you don’t have a spot with enough light, try a grow light.","Water:
Water your Money Tree when the soil volume is 50-75% dry. Always check the soil moisture before watering. Water thoroughly until you see water flow out of the drainage hole and discard any excess water in the saucer.","Pet-Safe:
Money Trees are considered non-toxic and pet friendly.","Sunlight: ☀︎☀︎
Water: 🌢🌢
Difficulty: ★★
Pet-Safe: ✔",
Monstera,https://bloomscape.com/wp-content/uploads/2020/08/bloomscape_monstera_detail_600x600.jpg?ver=282363,"Light:
Your Monstera can grow just about anywhere in your home! It tolerates low light, but grows faster and becomes more dramatic in a spot with indirect bright light. That said, avoid strong, direct sunlight because it may burn the leaves. If you don’t have a location with ideal lighting for your Monstera, use a Grow Light.","Water:
Water your Monstera when the top 50–75% of the soil is dry. Water until liquid flows through the drainage hole at the bottom of the pot and discard any water that has accumulated in the saucer.","Pet-Safe:
Monstera leaves are mildly toxic to pets and humans. Typically, ingestion will cause mouth and stomach irritation and possible vomiting.","Sunlight: ☀︎☀︎
Water: 🌢🌢
Difficulty: ★
Pet-Safe: ✘",
Olive Tree,https://bloomscape.com/wp-content/uploads/2023/05/230516_bloomscape_olive_trees_10841-e1684438662493.jpg?ver=1037762,"Light:
Your olive tree prefers direct sunlight. Place your plant in a full sun location that receives 6+ hours of direct sunlight per day.","Water:
Water when 25% of the soil volume is dry. Water until liquid flows through the drainage hole at the bottom of the pot. Do not use a saucer outdoors or allow the plant to sit in standing water. ","Pet-Safe:
Your olive tree is considered nontoxic and pet-friendly.","Sunlight: ☀︎☀︎☀︎
Water: 🌢🌢🌢
Difficulty: ★★
Pet-Safe: ✔",
Orchid,https://bloomscape.com/wp-content/uploads/2020/04/bloomscape_orchid_new-arrivals-324x324-1.jpg?ver=178027,"Light:
Your orchid prefers bright indirect light, such as the light from an east-facing window. Don’t let your plant sit in direct sun, as the foliage and delicate flowers may scorch. If your orchid does not get enough light, it will likely not rebloom.","Water:
Water when 75% of the potting media volume is dry. Water thoroughly until it flows from the drainage hole. Discard any excess water to discourage root rot.","Pet-Safe:
Phalaenopsis orchids are non-toxic to pets and humans if ingested.","Sunlight: ☀︎☀︎☀︎
Water: 🌢🌢
Difficulty: ★★★
Pet-Safe: ✔",
Palm,https://bloomscape.com/wp-content/uploads/2020/08/bloomscape_parlor-palmloomscape_detail_600x600.jpg?ver=282365,"Light:
Your Palm prefers bright indirect light but can adapt to medium to low light areas.","Water:
Water your Palm when the top 50% of the soil is dry. Water until liquid flows through the drainage hole at the bottom of the pot and discard any water that has accumulated in the saucer.","Pet-Safe:
Completely non-toxic to humans and pets.","Sunlight: ☀︎☀︎
Water: 🌢🌢
Difficulty: ★
Pet-Safe: ✔",
Peace Lily,https://bloomscape.com/wp-content/uploads/2022/02/bloomscape_peace-lily_10in_care-detail-scaled.jpg?ver=675647,"Light:
Your peace lily will do best in bright indirect light and can adapt to lower light. Too much bright light will burn the foliage. Too little light and the plant will not produce flowers and foliage growth will slow.","Water:
Water when 50% of the soil volume is dry. If the plant gets too dry it will dramatically wilt, but a good watering should perk it back up. Water thoroughly until you see it flow out of the drainage and discard excess water in the saucer.","Pet-Safe:
Peace Lily is considered to be toxic to animals and humans if ingested.","Sunlight: ☀︎☀︎
Water: 🌢🌢
Difficulty: ★
Pet-Safe: ✘",
Philodendron Heartleaf,https://bloomscape.com/wp-content/uploads/2020/08/bloomscape_philodendron-brasil_alt_detail.jpg?ver=279274,"Light:
The Philodendron Heartleaf can cope with low light conditions, but grows faster and produces more leaves bright indirect light. Do not put it in direct sunlight–the sun will burn the foliage.","Water:
Water your Philodendron when the top 50%-75% of the soil is dry. Water until liquid flows through the drainage hole at the bottom of the pot and discard any water that has accumulated in the saucer.","Pet-Safe:
Philodendron leaves are toxic to pets and humans. Typically, ingestion will result in swelling of the lips and tongue, and stomach irritation with possible vomiting.","Sunlight: ☀︎☀︎
Water: 🌢🌢
Difficulty: ★
Pet-Safe: ✘",
Pilea,https://bloomscape.com/wp-content/uploads/2020/08/bloomscape-plant-care-guide_pilea_600x600.jpg?ver=282405,"Light:
Your Pilea prefers bright, indirect light. Direct sun may burn the leaves. In order to prevent your Pilea from growing lopsided, rotate it at least 2-3 times a week since it grows towards the sun. This plant can adapt to lower light areas, but the leaves will turn a darker green and the plant will spread out more.","Water:
Water your Pilea when the top 75% of the soil is dry. Water until liquid flows through the drainage hole at the bottom of the pot and discard any water that has accumulated in the saucer.","Pet-Safe:
Pilea are generally non-toxic for humans and pets. However, when ingested in very large quantities, they can cause a mild digestive reaction.","Sunlight: ☀︎☀︎☀︎
Water: 🌢🌢
Difficulty: ★
Pet-Safe: ✔",
Poinsettia,https://bloomscape.com/wp-content/uploads/2021/08/Poinsettia_detail_600x600.jpg?ver=591312,"Light:
Poinsettias love bright but indirect sunlight. An eastern window is ideal, or a few feet back from a southern or western window. Watch out for pale bleached leaves as this is a sign your plant is getting too much direct sun.","Water:
You should water your poinsettia when the top 50% of soil is dry. Water slowly until you see water begin to trickle out of the pot’s drainage hole, and make sure you let excess water fully drain out. Discard any excess water after a few minutes.","Pet-Safe:
Toxic only if ingested in very high amounts to pets and humans. The sap can be irritating to the mouth and stomach if ingested, sometimes causing vomiting. The sap may also cause a very mild allergic skin reaction in some people.","Sunlight: ☀︎☀︎☀︎
Water: 🌢🌢
Difficulty: ★★
Pet-Safe: ✔",
Pothos,https://bloomscape.com/wp-content/uploads/2020/08/bloomscape_silver-satin-pothos_alt-1_detail_600x600.jpg?ver=282390,"Light:
Your Pothos prefers indirect bright light. It can tolerate lower light, but growth will slow and the colors may fade. Direct light can scorch the leaves.","Water:
Water when 50-75% of the soil volume is dry. Water until liquid flows through the drainage hole at the bottom of the pot and discard any water that has accumulated in the saucer.","Pet-Safe:
Your Pothos is considered toxic to humans and pets if ingested.","Sunlight: ☀︎☀︎
Water: 🌢🌢
Difficulty: ★
Pet-Safe: ✘",
Prayer Plant,https://bloomscape.com/wp-content/uploads/2020/08/bloomscape_red-prayer-plant_alt_detail_600x600.jpg?ver=282387,"Light:
Your Prayer Plant prefers bright, indirect light. Direct sun can cause the leaves to fade and scorch.","Water:
Water when the soil volume is 25% dry. Water until liquid flows through the drainage hole and discard any that accumulates in the saucer.","Pet-Safe:
This plant is considered non-toxic and pet-friendly.","Sunlight: ☀︎☀︎☀︎
Water: 🌢🌢🌢
Difficulty: ★
Pet-Safe: ✔",
Sansevieria,https://bloomscape.com/wp-content/uploads/2020/08/bloomscape_sansevieria_detail_600x600.jpg?ver=282388,"Light:
Your Snake Plant can tolerate any light level. The brighter the light, the faster it will grow. Always acclimate the plant over a few weeks if moving from indirect to direct light to avoid scorching the foliage.","Water:
Water only when the soil volume is 100% dry. It’s better to err on the dry side. Water thoroughly to encourage a healthy root system and discard any excess water in the saucer.","Pet-Safe:
Snake Plants are toxic to humans and pets if ingested.","Sunlight: ☀︎
Water: 🌢
Difficulty: ★
Pet-Safe: ✘",
Schefflera,https://bloomscape.com/wp-content/uploads/2020/08/bloomscape_schefflera-arboricola_detail_600x600.jpg?ver=282389,"Light:
Your Schefflera prefers bright indirect light. It can also tolerate medium and low light, but growth will slow. Direct sun in the early morning and late afternoon is fine, but avoid exposure to the harsh midday sun which can scorch the leaves.","Water:
Water when 75% of the soil volume is dry. Water slowly, allowing it to soak into the soil, until it flows freely through the drainage hole. Discard any excess water that accumulates in the saucer.","Pet-Safe:
This plant is considered toxic to pets and humans if ingested.","Sunlight: ☀︎☀︎
Water: 🌢🌢
Difficulty: ★
Pet-Safe: ✘",
Spider Plant,https://bloomscape.com/wp-content/uploads/2020/08/bloomscape-spider-plant_detail-1-e1598641341111.jpg?ver=282449,"Light:
Your spider plant can be placed in low to indirect bright light. The more light the plant receives, the bolder the stripes will be. Watch out for too much direct light and it can scorch the leaves. If you don’t have an ideal location for your Spider Plant, use a Grow Light.","Water:
Water your spider plant when 50-75% of the soil volume is dry. Dry crispy tips often point to underwatering while dark brown tips point to overwatering. Water thoroughly and discard of any excess water in the saucer.","Pet-Safe:
The Spider Plant is non-toxic and safe for humans, dogs, and cats.","Sunlight: ☀︎
Water: 🌢🌢
Difficulty: ★
Pet-Safe: ✔",
Yucca Cane,https://bloomscape.com/wp-content/uploads/2021/03/bloomscape_yucca-cane_xl_detail.jpg?ver=437483,"Light:
Your Yucca prefers bright indirect light indirect to bright light. Too little light will cause growth to slow.","Water:
Water your Yucca when 75-100% of the soil volume is dry. Water until liquid flows through the drainage hole at the bottom of the pot and discard any water that has accumulated in the saucer.","Pet-Safe:
Yucca Plants are mildly toxic to pets and humans if ingested.","Sunlight: ☀︎☀︎☀︎
Water: 🌢
Difficulty: ★
Pet-Safe: ✘",
Zebra Plant,https://bloomscape.com/wp-content/uploads/2021/08/b37591da8a0df576fbd34882b1f21550ef329898-4335x5204-1.jpg?ver=563029,"Light:
Your zebra plant thrives in bright, indirect light. It can tolerate a couple of hours of direct morning sunlight, but avoid long periods of direct sun and especially direct afternoon sun, which can cause the leaves to scorch. Zebra plants are not adaptable to low light.","Water:
Water your zebra plant when the top 25% of soil is dry. Water thoroughly, and be sure to empty the saucer of any excess water to prevent root rot. Avoid watering directly on the leaves, as water can funnel down the stems and cause crown rot.","Pet-Safe:
Your zebra plant is considered to be non-toxic to pets and humans.","Sunlight: ☀︎☀︎☀︎
Water: 🌢🌢🌢
Difficulty: ★★★
Pet-Safe: ✔",
