"Title","Image","Sunlight","Water","Pet-Safe","Text Tags","Tags","Plants (Item)","Plants","ID","Created Date","Updated Date","Owner"
"Peace Lily","https://bloomscape.com/wp-content/uploads/2022/02/bloomscape_peace-lily_10in_care-detail-scaled.jpg?ver=675647","<p class=""font_8""><strong>Light:</strong></p>
<p class=""font_8"">Your peace lily will do best in bright indirect light and can adapt to lower light. Too much bright light will burn the foliage. Too little light and the plant will not produce flowers and foliage growth will slow.</p>","<p class=""font_8""><strong>Water:</strong></p>
<p class=""font_8"">Water when 50% of the soil volume is dry. If the plant gets too dry it will dramatically wilt, but a good watering should perk it back up. Water thoroughly until you see it flow out of the drainage and discard excess water in the saucer.</p>","<p class=""font_8""><strong>Pet-Safe:</strong></p>
<p class=""font_8"">Peace Lily is considered to be toxic to animals and humans if ingested.</p>","Sunlight: ☀︎☀︎
Water: 🌢🌢
Difficulty: ★
Pet-Safe: ✘","[""☀︎☀︎"",""🌢🌢"",""★"",""✘""]","/plants/peace-lily","/plants/","3715dd1f-d8d5-4a68-b301-71c7c38af8d4",2024-12-01T21:13:35Z,2024-12-01T21:36:02Z,"113ad9d1-680a-41fa-a500-534b56b4c9a9"
"Dieffenbachia","https://bloomscape.com/wp-content/uploads/2022/02/bloomscape_dieffenbachia_10in_clay-scaled.jpg?ver=675709","<p class=""font_8""><strong>Light:</strong></p>
<p class=""font_8"">Your Dieffenbachia will do best in bright, indirect light. It can also tolerate lower light environments, though growth will slow. Avoid direct sunlight which can burn the leaves.</p>","<p class=""font_8""><strong>Water:</strong></p>
<p class=""font_8"">Water your Dieffenbachia when the soil volume is 50-75% dry. Water thoroughly until it drips out the bottom of the pot, and remove excess water that accumulates in the saucer.</p>","<p class=""font_8""><strong>Pet-Safe:</strong></p>
<p class=""font_8"">Dieffenbachia are considered to be toxic to pets and humans if ingested.</p>","Sunlight: ☀︎☀︎
Water: 🌢🌢
Difficulty: ★
Pet-Safe: ✘","[""☀︎☀︎"",""🌢🌢"",""★"",""✘""]","/plants/dieffenbachia","/plants/","3c9ee83a-df19-455a-8336-8297b7244a3f",2024-12-01T21:13:35Z,2024-12-01T21:31:12Z,"113ad9d1-680a-41fa-a500-534b56b4c9a9"
"African Violet","https://bloomscape.com/wp-content/uploads/2022/03/bloomscape_african-violet_bi-color_small_group-scaled.jpg?ver=697046","<p class=""font_8""><strong>Light:</strong></p>
<p class=""font_8"">Your African violet loves bright indirect sunlight. Try and place it somewhere that gets loads of daylight, but not somewhere the sun is directly beating down on it. Near an eastern window or a few feet back from a southern window are ideal spots for this plant. Yellowing leaves and a lack of blooms can mean not enough light, while sunburnt, bleached leaves point to too much light. If you are worried you do not have a spot with enough light, try a Grow Light.</p>","<p class=""font_8""><strong>Water:</strong></p>
<p class=""font_8"">Water when the soil volume is 25% dry. This plant likes to be kept moist but does not like to sit in soggy soil. Avoid getting the leaves wet, and the bottom-watering method is recommended. Place your plant in a sink filled with 2-4″ of water. Leave the plant to soak for up to 45 minutes. Test the top of the soil for moisture. If it still feels dry water a little from the top. When your plant’s soil is evenly damp, drain the sink/tub and allow the plant to rest while it drains thoroughly.</p>","<p class=""font_8""><strong>Pet-Safe:</strong></p>
<p class=""font_8"">Both the flowers and the leaves of an African violet are non-toxic to cats and dogs.</p>","Sunlight: ☀︎☀︎☀︎
Water: 🌢🌢🌢
Difficulty: ★★
Pet-Safe: ✔","[""☀︎☀︎☀︎"",""🌢🌢🌢"",""★★"",""✔""]","/plants/african-violet","/plants/","3f348b1c-72c2-4e8c-88aa-4dccc4486eaa",2024-12-01T00:35:59Z,2024-12-01T21:38:46Z,"113ad9d1-680a-41fa-a500-534b56b4c9a9"
"Conifer","https://bloomscape.com/wp-content/uploads/2021/10/bloomscape_lemon-cypress_small_detail.jpg?ver=610374","<p class=""font_8""><strong>Light:</strong></p>
<p class=""font_8"">Your Conifer prefers bright indirect light to direct sunlight. It will not do well in medium or low light environments.</p>","<p class=""font_8""><strong>Water:</strong></p>
<p class=""font_8"">Water your Conifer when 50% of the soil volume is dry. Water until liquid flows through the drainage hole at the bottom of the pot and discard any water that has accumulated in the saucer.</p>","<p class=""font_8""><strong>Pet-Safe:</strong></p>
<p class=""font_8"">This plant is considered to be toxic to pets and humans if ingested.</p>","Sunlight: ☀︎☀︎☀︎
Water: 🌢🌢
Difficulty: ★★
Pet-Safe: ✘","[""☀︎☀︎☀︎"",""🌢🌢"",""★★"",""✘""]","/plants/conifer","/plants/","40c24cb2-5bf5-400f-a108-0edf7053dbb1",2024-12-01T21:13:35Z,2024-12-01T21:30:33Z,"113ad9d1-680a-41fa-a500-534b56b4c9a9"
"Fittonia","https://bloomscape.com/wp-content/uploads/2020/08/bloomscape_collections_spring-fling_detail-fittonia-white_600x600.jpg?ver=282344","<p class=""font_8""><strong>Light:</strong></p>
<p class=""font_8"">Your Fittonia prefers bright, indirect light. Lower light can cause it to lose some of its vibrant color and growth will slow. Too much light can burn the leaves.</p>","<p class=""font_8""><strong>Water:</strong></p>
<p class=""font_8"">Your Fittonia loves water and to be consistently moist, but not soggy. Water thoroughly when the top 50% of soil is dry. If you let your Fittonia dry out too much, it will let you know with limp leaves. Not to worry! After a thorough watering, the leaves should soon perk up.</p>","<p class=""font_8""><strong>Pet-Safe:</strong></p>
<p class=""font_8"">Fittonia are non-toxic and pet-friendly.</p>","Sunlight: ☀︎☀︎☀︎
Water: 🌢🌢🌢
Difficulty: ★
Pet-Safe: ✔","[""☀︎☀︎☀︎"",""🌢🌢🌢"",""★"",""✔""]","/plants/fittonia","/plants/","4421437b-3da2-4e7b-a382-26fb9ea6d35a",2024-12-01T21:13:35Z,2024-12-01T21:33:00Z,"113ad9d1-680a-41fa-a500-534b56b4c9a9"
"Easter Lily","https://bloomscape.com/wp-content/uploads/2022/03/iStock-160320204-scaled.jpg?ver=681573","<p class=""font_8""><strong>Light:</strong></p>
<p class=""font_8"">Easter lilies love to be placed in indirect, bright sunlight. Too much light will burn the foliage, but too little light will cause the slow decline of the plant. Eastern light or a few feet back from a southern window is ideal.</p>","<p class=""font_8""><strong>Water:</strong></p>
<p class=""font_8"">Easter lilies prefer to stay somewhat moist. Water when 50% of the soil volume is dry. Water thoroughly and discard excess water to avoid root rot.</p>","<p class=""font_8""><strong>Pet-Safe:</strong></p>
<p class=""font_8"">Easter lilies are toxic to humans and pets if ingested. All parts of the Easter lily, including the pollen, are extremely toxic to cats.</p>","Sunlight: ☀︎☀︎☀︎
Water: 🌢🌢
Difficulty: ★★
Pet-Safe: ✘","[""☀︎☀︎☀︎"",""🌢🌢"",""★★"",""✘""]","/plants/easter-lily","/plants/","4448ae1a-3a29-4abd-afa2-4a0ded9b928a",2024-12-01T21:13:35Z,2024-12-01T21:31:40Z,"113ad9d1-680a-41fa-a500-534b56b4c9a9"
"Aloe","https://bloomscape.com/wp-content/uploads/2020/08/bloomscape_hedgehog-aloe_detail_600x600.jpg?ver=282358","<p class=""font_8""><strong>Light:</strong></p>
<p class=""font_8"">Your Aloe plant prefers bright indirect light to full sun. Insufficient &nbsp;light will cause the leaves to droop downwards. If you don’t have a &nbsp;location with ideal lighting for your plant, use a <a href=""https://bloomscape.com/product/large-grow-light/"">Grow Light</a>!</p>","<p class=""font_8""><strong>Water:</strong></p>
<p class=""font_8""><a href=""https://bloomscape.com/product/watering-can/"">Water</a> your &nbsp;Hedgehog Aloe when the soil volume is 100% dry. Water thoroughly until &nbsp;it flows out of the drainage hole. Discard excess water to discourage root rot.</p>","<p class=""font_8""><strong>Pet-Safe:</strong></p>
<p class=""font_8"">This plant is toxic to pets and humans if ingested.</p>","Sunlight: ☀︎☀︎☀︎
Water: 🌢
Difficulty: ★
Pet-Safe: ✘","[""☀︎☀︎☀︎"",""🌢"",""★"",""✘""]","/plants/aloe","/plants/","5064095a-c85a-44d1-9017-ec30685a0128",2024-12-01T00:36:39Z,2024-12-01T21:39:32Z,"113ad9d1-680a-41fa-a500-534b56b4c9a9"
"Cactus","https://bloomscape.com/wp-content/uploads/2020/08/bloomscape_prickly-pear-cactus_detail_600x600.jpg?ver=282372","<p class=""font_8""><strong>Light:</strong></p>
<p class=""font_8"">Your Cactus needs bright direct light. This means a spot that gets 6 or more hours of direct sun per day, like an unobstructed southern or western window.</p>","<p class=""font_8""><strong>Water:</strong></p>
<p class=""font_8"">Water your cactus when the soil volume is 100% dry. Water thoroughly until it flows out of the drainage hole. Discard excess water to discourage root rot.</p>","<p class=""font_8""><strong>Pet-Safe:</strong></p>
<p class=""font_8"">This is considered pet friendly, but watch out for spikes!</p>","Sunlight: ☀︎☀︎☀︎
Water: 🌢
Difficulty: ★
Pet-Safe: ✔","[""☀︎☀︎☀︎"",""🌢"",""★"",""✔""]","/plants/cactus","/plants/","511bb834-42a1-4192-b9ec-753331ff494a",2024-12-01T21:13:35Z,2024-12-01T21:40:58Z,"113ad9d1-680a-41fa-a500-534b56b4c9a9"
"Asparagus Fern","https://bloomscape.com/wp-content/uploads/2021/11/asparagus-fern_detail_600x600.jpg?ver=617617","<p class=""font_8""><strong>Light:</strong></p>
<p class=""font_8"">This plant grows best in bright indirect light and dappled shade, so be sure to keep it out of direct sunlight.</p>","<p class=""font_8""><strong>Water:</strong></p>
<p class=""font_8"">Water when 25% of the soil volume is dry, allowing the water to run out of the drainage hole fully to avoid root rot. If the plant is turning brown or drooping, this is a sign it is not getting enough water.</p>","<p class=""font_8""><strong>Pet-Safe:</strong></p>
<p class=""font_8"">This plant and its berries are toxic to both humans and pets.</p>","Sunlight: ☀︎☀︎☀︎
Water: 🌢🌢🌢
Difficulty: ★
Pet-Safe: ✘","[""☀︎☀︎☀︎"",""🌢🌢🌢"",""★"",""✘""]","/plants/asparagus-fern","/plants/","51825376-9ee1-4083-a023-d991c90eeea2",2024-12-01T21:13:35Z,2024-12-01T21:27:20Z,"113ad9d1-680a-41fa-a500-534b56b4c9a9"
"Calla Lily","https://bloomscape.com/wp-content/uploads/2023/03/BLOOMSCAPE_MARCH_0063-scaled-e1677867960311.jpg?ver=1014083","<p class=""font_8""><strong>Light:</strong></p>
<p class=""font_8"">Your Calla Lily prefers bright indirect light. Avoid prolonged exposure to direct sunlight, which can burn the leaves. If you aren’t sure you have enough light indoors, try using a grow light.</p>","<p class=""font_8""><strong>Water:</strong></p>
<p class=""font_8"">Water when 50% of the soil volume is dry. Water until liquid flows through the drainage hole at the bottom of the pot and discard any water that has accumulated in the saucer.</p>","<p class=""font_8""><strong>Pet-Safe:</strong></p>
<p class=""font_8"">This plant is considered toxic to pets and humans if ingested.</p>","Sunlight: ☀︎☀︎☀︎
Water: 🌢🌢
Difficulty: ★★
Pet-Safe: ✘","[""☀︎☀︎☀︎"",""🌢🌢"",""★★"",""✘""]","/plants/calla-lily","/plants/","548a0e1d-6fd4-4cb3-b5b8-d503e910a924",2024-12-01T21:13:35Z,2024-12-01T21:41:42Z,"113ad9d1-680a-41fa-a500-534b56b4c9a9"
"Carnivorous Venus Fly Trap","https://bloomscape.com/wp-content/uploads/2020/08/bloomscape_collections_carnivorous_venus-fly-trap_detail_600x600.jpg?ver=282342","<p class=""font_8""><strong>Light:</strong></p>
<p class=""font_8"">Your Venus Fly Trap prefers direct or very bright indirect light. It will not tolerate low light.</p>","<p class=""font_8""><strong>Water:</strong></p>
<p class=""font_8"">Water when 25% of the soil volume is dry. Water slowly, allowing it to soak into the soil until it drips out of the drainage hole. Discard any excess water that accumulates in the saucer.</p>","<p class=""font_8""><strong>Pet-Safe:</strong></p>
<p class=""font_8"">This plant is considered non-toxic and pet-friendly.</p>","Sunlight: ☀︎☀︎☀︎
Water: 🌢🌢🌢
Difficulty: ★
Pet-Safe: ✔","[""☀︎☀︎☀︎"",""🌢🌢🌢"",""★"",""✔""]","/plants/carnivorous-venus-fly-trap","/plants/","5837d6c2-107f-4e17-a9b1-628d5b0ed882",2024-12-01T21:13:35Z,2024-12-01T21:29:08Z,"113ad9d1-680a-41fa-a500-534b56b4c9a9"
"Cast Iron Plant","https://bloomscape.com/wp-content/uploads/2021/09/iStock-1253049188-scaled.jpg?ver=586623","<p class=""font_8""><strong>Light:</strong></p>
<p class=""font_8"">Your cast iron plant can grow in low and artificial light, but will perform best in bright to medium-bright indirect light. It can tolerate a few hours of direct morning sun, but avoid areas in which it will be exposed to harsh afternoon sun.</p>","<p class=""font_8""><strong>Water:</strong></p>
<p class=""font_8"">Water your cast iron plant when the top 50-75% of soil is dry. Water thoroughly, and be sure to empty the saucer of any excess water to prevent root rot.</p>","<p class=""font_8""><strong>Pet-Safe:</strong></p>
<p class=""font_8"">Cast iron plants are not toxic to humans and pets.</p>","Sunlight: ☀︎
Water: 🌢🌢
Difficulty: ★
Pet-Safe: ✔","[""☀︎"",""🌢🌢"",""★"",""✔""]","/plants/cast-iron-plant","/plants/","5c55f66e-2375-4edc-8089-e4394944cf21",2024-12-01T21:13:35Z,2024-12-01T21:29:36Z,"113ad9d1-680a-41fa-a500-534b56b4c9a9"
"Jade Plant","https://bloomscape.com/wp-content/uploads/2021/06/Jade-_Bloomscape.jpg?ver=557563","<p class=""font_8""><strong>Light:</strong></p>
<p class=""font_8"">Give your Jade plant indirect to bright light. Too little light can cause overwatering and slow growth.</p>","<p class=""font_8""><strong>Water:</strong></p>
<p class=""font_8"">Your Jade Plant does not need to be watered as frequently as most indoor plants. Water only when the soil is completely dry. Water thoroughly until you see water flow out of the drainage hole. Make sure there is no standing water left in the saucer, as this can lead to root rot.</p>","<p class=""font_8""><strong>Pet-Safe:</strong></p>
<p class=""font_8"">Your Jade Plant is considered to be toxic.</p>","Sunlight: ☀︎☀︎☀︎
Water: 🌢
Difficulty: ★
Pet-Safe: ✘","[""☀︎☀︎☀︎"",""🌢"",""★"",""✘""]","/plants/jade-plant","/plants/","6ed04fcc-7f0a-4fd2-a14b-91bfd472578f",2024-12-01T21:13:35Z,2024-12-01T21:34:23Z,"113ad9d1-680a-41fa-a500-534b56b4c9a9"
"Gardenia","https://bloomscape.com/wp-content/uploads/2022/03/bloomscape_gardenia_medium_clay.jpg?ver=697097","<p class=""font_8""><strong>Light:</strong></p>
<p class=""font_8"">Your Gardenia prefers partial shade, with 4-6 hours of direct sun per day. The soft morning sun is best, so an east-facing exposure is best. Avoid exposure to the harsh afternoon sunlight, which can scorch the delicate blooms. Your Gardenia can also thrive in areas with light shade throughout the day.</p>","<p class=""font_8""><strong>Water:</strong></p>
<p class=""font_8"">Water your Gardenia with 50% of the soil volume is dry. Water slowly, allowing it to absorb into the soil until it begins to drip out of the drainage hole. Do not use a saucer outdoors or allow the pot to sit in standing water.</p>","<p class=""font_8""><strong>Pet-Safe:</strong></p>
<p class=""font_8"">The Gardenia is considered mildly toxic to pets and humans if ingested.</p>","Sunlight: ☀︎☀︎☀︎
Water: 🌢🌢
Difficulty: ★★
Pet-Safe: ✘","[""☀︎☀︎☀︎"",""🌢🌢"",""★★"",""✘""]","/plants/gardenia","/plants/","72c393c6-9d46-4e87-86a8-a1a98e66832e",2024-12-01T21:13:35Z,2024-12-01T21:33:19Z,"113ad9d1-680a-41fa-a500-534b56b4c9a9"
"Poinsettia","https://bloomscape.com/wp-content/uploads/2021/08/Poinsettia_detail_600x600.jpg?ver=591312","<p class=""font_8""><strong>Light:</strong></p>
<p class=""font_8"">Poinsettias love bright but indirect sunlight. An eastern window is ideal, or a few feet back from a southern or western window. Watch out for pale bleached leaves as this is a sign your plant is getting too much direct sun.</p>","<p class=""font_8""><strong>Water:</strong></p>
<p class=""font_8"">You should water your poinsettia when the top 50% of soil is dry. Water slowly until you see water begin to trickle out of the pot’s drainage hole, and make sure you let excess water fully drain out. Discard any excess water after a few minutes.</p>","<p class=""font_8""><strong>Pet-Safe:</strong></p>
<p class=""font_8"">Toxic only if ingested in very high amounts to pets and humans. The sap can be irritating to the mouth and stomach if ingested, sometimes causing vomiting. The sap may also cause a very mild allergic skin reaction in some people.</p>","Sunlight: ☀︎☀︎☀︎
Water: 🌢🌢
Difficulty: ★★
Pet-Safe: ✔","[""☀︎☀︎☀︎"",""🌢🌢"",""★★"",""✔""]","/plants/poinsettia","/plants/","74f14f3f-b4b1-4dac-8c22-2f9601dd7e5e",2024-12-01T21:13:35Z,2024-12-01T21:36:51Z,"113ad9d1-680a-41fa-a500-534b56b4c9a9"
